"index","beta_0.1","beta_0.2","beta_0.3","beta_0.4","beta_0.5","beta_0.6","income_t.1","income_t.2","income_t.3","income_t.4","income_t.5","income_t.6","price","Y"
17,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,4
17,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,4
18,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.25,6
18,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.61,6
18,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,6
18,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,6
18,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.33,6
18,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.75,6
19,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,3
19,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.61,3
19,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
19,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,3
19,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,3
19,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.75,3
20,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.5,3
20,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.58,3
20,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
20,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,3
20,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,3
20,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.72,3
21,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.5,3
21,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.5,3
21,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
21,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,3
21,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.33,3
21,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.72,3
22,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,3
22,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.45,3
22,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
22,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,3
22,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.33,3
22,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.79,3
23,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,6
23,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.58,6
23,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,6
23,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,6
23,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.33,6
23,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.72,6
24,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,3
24,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.58,3
24,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
24,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.45,3
24,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,3
24,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.72,3
25,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.29,3
25,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.5,3
25,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,3
25,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.29,3
25,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,3
25,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.69,3
26,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.29,5
26,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.5,5
26,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,5
26,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.29,5
26,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,5
26,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.69,5
27,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,2
27,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.5,2
27,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,2
27,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.29,2
27,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,2
27,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.69,2
28,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0,0.58,2
28,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0,0.5,2
28,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0,0.99,2
28,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0,0.29,2
28,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0,0.34,2
28,0,0,0,0,0,1,0,0,0,0,0,0.285824433769119,0.69,2
29,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.63,6
29,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.67,6
29,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
29,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,6
29,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.49,6
29,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,6
30,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.19,4
30,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
30,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
30,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,4
30,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
30,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,4
31,1,0,0,0,0,0,0.769994094317353,0,0,0,0,0,0.67,2
31,0,1,0,0,0,0,0,0.769994094317353,0,0,0,0,0.67,2
31,0,0,1,0,0,0,0,0,0.769994094317353,0,0,0,1.08,2
31,0,0,0,1,0,0,0,0,0,0.769994094317353,0,0,0.57,2
31,0,0,0,0,1,0,0,0,0,0,0.769994094317353,0,0.53,2
31,0,0,0,0,0,1,0,0,0,0,0,0.769994094317353,0.83,2
32,1,0,0,0,0,0,0.769994094317353,0,0,0,0,0,0.62,6
32,0,1,0,0,0,0,0,0.769994094317353,0,0,0,0,0.61,6
32,0,0,1,0,0,0,0,0,0.769994094317353,0,0,0,0.99,6
32,0,0,0,1,0,0,0,0,0,0.769994094317353,0,0,0.45,6
32,0,0,0,0,1,0,0,0,0,0,0.769994094317353,0,0.33,6
32,0,0,0,0,0,1,0,0,0,0,0,0.769994094317353,0.75,6
33,1,0,0,0,0,0,-0.307388783126844,0,0,0,0,0,0.58,2
33,0,1,0,0,0,0,0,-0.307388783126844,0,0,0,0,0.25,2
33,0,0,1,0,0,0,0,0,-0.307388783126844,0,0,0,0.99,2
33,0,0,0,1,0,0,0,0,0,-0.307388783126844,0,0,0.29,2
33,0,0,0,0,1,0,0,0,0,0,-0.307388783126844,0,0.33,2
33,0,0,0,0,0,1,0,0,0,0,0,-0.307388783126844,0.72,2
34,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,6
34,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,6
34,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
34,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,6
34,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,6
34,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,6
35,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.25,6
35,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.39,6
35,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
35,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,6
35,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,6
35,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,6
36,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.5,5
36,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,5
36,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,5
36,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.19,5
36,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,5
36,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,5
37,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,2
37,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.45,2
37,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,2
37,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,2
37,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,2
37,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,2
38,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.19,1
38,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,1
38,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,1
38,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,1
38,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,1
38,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,1
39,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.39,6
39,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,6
39,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
39,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,6
39,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,6
39,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,6
40,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,6
40,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.5,6
40,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,1.13,6
40,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,6
40,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,6
40,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.93,6
41,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.29,6
41,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.5,6
41,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
41,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.57,6
41,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.36,6
41,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,6
42,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,1
42,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,1
42,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,1
42,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,1
42,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.37,1
42,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,1
43,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,6
43,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,6
43,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
43,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,6
43,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.37,6
43,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,6
44,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,3
44,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,3
44,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,3
44,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.49,3
44,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,3
44,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,3
45,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,6
45,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,6
45,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,6
45,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.49,6
45,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,6
45,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,6
46,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.62,3
46,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.61,3
46,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,3
46,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,3
46,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,3
46,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,3
47,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,4
47,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.6,4
47,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
47,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,4
47,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
47,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.75,4
48,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,5
48,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,5
48,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,5
48,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,5
48,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,5
48,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,5
49,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,2
49,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,2
49,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,2
49,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,2
49,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,2
49,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,2
50,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,4
50,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.25,4
50,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
50,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,4
50,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
50,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,4
51,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,4
51,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
51,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
51,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,4
51,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
51,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,4
52,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,2
52,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,2
52,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,2
52,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.45,2
52,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,2
52,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.72,2
53,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,4
53,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
53,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
53,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,4
53,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
53,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,4
54,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,4
54,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.58,4
54,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,4
54,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,4
54,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,4
54,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,4
55,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.29,5
55,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.5,5
55,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,5
55,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,5
55,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.33,5
55,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,5
56,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0,0.58,2
56,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0,0.19,2
56,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0,0.99,2
56,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0,0.29,2
56,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0,0.34,2
56,0,0,0,0,0,1,0,0,0,0,0,-0.132017388460012,0.69,2
57,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0,0.29,5
57,0,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0.67,5
57,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0,1.09,5
57,0,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0.57,5
57,0,0,0,0,1,0,0,0,0,0,0.113031176235754,0,0.34,5
57,0,0,0,0,0,1,0,0,0,0,0,0.113031176235754,0.93,5
58,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0,0.29,6
58,0,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0.5,6
58,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0,0.99,6
58,0,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0.57,6
58,0,0,0,0,1,0,0,0,0,0,0.113031176235754,0,0.36,6
58,0,0,0,0,0,1,0,0,0,0,0,0.113031176235754,0.69,6
59,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0,0.62,3
59,0,1,0,0,0,0,0,0.113031176235754,0,0,0,0,0.61,3
59,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0,0.99,3
59,0,0,0,1,0,0,0,0,0,0.113031176235754,0,0,0.49,3
